Case Id,Event Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id
8480CP,5201,2017-12-18 01:27:18,2017-12-18 01:34:18,Request product,process activity,clerk,1c,product,8480p
8480CP,5206,2017-12-18 01:34:18,2017-12-18 01:34:18,Assgin robot,process activity,robot,14r,shelf,372s
9730CP,5212,2017-12-18 01:42:18,2017-12-18 01:42:18,Product Delivered,process activity,clerk,1c,product,9730p
5337CP,5217,2017-12-18 01:45:18,2017-12-18 01:45:18,check if the product was shaked,process activity,clerk,1c,product,5337p
5337CP,5222,2017-12-18 01:56:18,2017-12-18 01:56:18,Product Delivered,process activity,clerk,1c,product,5337p
6468CP,5224,2017-12-18 01:57:18,2017-12-18 02:01:18,Request product,process activity,clerk,1c,product,6468p
6468CP,5225,2017-12-18 02:01:18,2017-12-18 02:01:18,Assgin robot,process activity,robot,90r,shelf,62s
2212CP,5213,2017-12-18 01:43:18,2017-12-18 02:05:18,Request product,process activity,clerk,1c,product,2212p
2212CP,5229,2017-12-18 02:05:18,2017-12-18 02:05:18,Assgin robot,process activity,robot,86r,shelf,37s
394CP,5240,2017-12-18 02:17:18,2017-12-18 02:17:18,check if the product was shaked,process activity,clerk,1c,product,394p
394CP,5244,2017-12-18 02:21:18,2017-12-18 02:21:18,Product Delivered,process activity,clerk,1c,product,394p
1412CP,5246,2017-12-18 02:22:18,2017-12-18 02:22:18,check if the product was shaked,process activity,clerk,1c,product,1412p
9186CP,5233,2017-12-18 02:08:18,2017-12-18 02:26:18,Request product,process activity,clerk,1c,product,9186p
9186CP,5252,2017-12-18 02:26:18,2017-12-18 02:26:18,Assgin robot,process activity,robot,15r,shelf,463s
1412CP,5257,2017-12-18 02:36:18,2017-12-18 02:36:18,Product Delivered,process activity,clerk,1c,product,1412p
1965CP,5258,2017-12-18 02:37:18,2017-12-18 02:37:18,check if the product was shaked,process activity,clerk,1c,product,1965p
5890CP,5239,2017-12-18 02:16:18,2017-12-18 02:37:18,Request product,process activity,clerk,1c,product,5890p
5890CP,5261,2017-12-18 02:38:18,2017-12-18 02:38:18,Assgin robot,process activity,robot,85r,shelf,152s
1283CP,5245,2017-12-18 02:22:18,2017-12-18 02:45:18,Request product,process activity,clerk,1c,product,1283p
1283CP,5267,2017-12-18 02:46:18,2017-12-18 02:46:18,Assgin robot,process activity,robot,44r,shelf,382s
5239CP,5259,2017-12-18 02:37:18,2017-12-18 02:47:18,Request product,process activity,clerk,1c,product,5239p
5239CP,5270,2017-12-18 02:48:18,2017-12-18 02:48:18,Assgin robot,process activity,robot,37r,shelf,56s
1965CP,5285,2017-12-18 03:01:18,2017-12-18 03:01:18,Product Delivered,process activity,clerk,1c,product,1965p
5774CP,5286,2017-12-18 03:01:18,2017-12-18 03:02:18,check if the product was shaked,process activity,clerk,1c,product,5774p
6528CP,5287,2017-12-18 03:02:18,2017-12-18 03:24:18,Request product,process activity,clerk,1c,product,6528p
6528CP,5306,2017-12-18 03:25:18,2017-12-18 03:25:18,Assgin robot,process activity,robot,72r,shelf,456s
5774CP,5309,2017-12-18 03:26:18,2017-12-18 03:26:18,Product Delivered,process activity,clerk,1c,product,5774p
4850CP,5313,2017-12-18 03:28:18,2017-12-18 03:28:18,check if the product was shaked,process activity,clerk,1c,product,4850p
4289CP,5312,2017-12-18 03:28:18,2017-12-18 03:32:18,Request product,process activity,clerk,1c,product,4289p
4289CP,5318,2017-12-18 03:32:18,2017-12-18 03:32:18,Assgin robot,process activity,robot,68r,shelf,94s
4850CP,5329,2017-12-18 03:47:18,2017-12-18 03:47:18,Product Delivered,process activity,clerk,1c,product,4850p
7646CP,5330,2017-12-18 03:47:18,2017-12-18 03:48:18,check if the product was shaked,process activity,clerk,1c,product,7646p
6444CP,5332,2017-12-18 03:49:18,2017-12-18 03:55:18,Request product,process activity,clerk,1c,product,6444p
6444CP,5337,2017-12-18 03:55:18,2017-12-18 03:56:18,Assgin robot,process activity,robot,95r,shelf,184s
7646CP,5343,2017-12-18 04:00:18,2017-12-18 04:00:18,Product Delivered,process activity,clerk,1c,product,7646p
5791CP,5345,2017-12-18 04:02:18,2017-12-18 04:02:18,check if the product was shaked,process activity,clerk,1c,product,5791p
1708CP,5346,2017-12-18 04:02:18,2017-12-18 04:19:18,Request product,process activity,clerk,1c,product,1708p
1708CP,5359,2017-12-18 04:19:18,2017-12-18 04:19:18,Assgin robot,process activity,robot,62r,shelf,497s
5791CP,5361,2017-12-18 04:21:18,2017-12-18 04:21:18,Product Delivered,process activity,clerk,1c,product,5791p
2271CP,5364,2017-12-18 04:23:18,2017-12-18 04:23:18,check if the product was shaked,process activity,clerk,1c,product,2271p
8707CP,5366,2017-12-18 04:23:18,2017-12-18 04:27:18,Request product,process activity,clerk,1c,product,8707p
8707CP,5369,2017-12-18 04:27:18,2017-12-18 04:27:18,Assgin robot,process activity,robot,83r,shelf,134s
2271CP,5381,2017-12-18 04:38:18,2017-12-18 04:38:18,Product Delivered,process activity,clerk,1c,product,2271p
3279CP,5382,2017-12-18 04:39:18,2017-12-18 04:39:18,check if the product was shaked,process activity,clerk,1c,product,3279p
3279CP,5391,2017-12-18 04:53:18,2017-12-18 04:53:18,Product Delivered,process activity,clerk,1c,product,3279p
3391CP,5392,2017-12-18 04:54:18,2017-12-18 04:54:18,check if the product was shaked,process activity,clerk,1c,product,3391p
3391CP,5398,2017-12-18 05:11:18,2017-12-18 05:11:18,Product Delivered,process activity,clerk,1c,product,3391p
9806CP,5393,2017-12-18 04:54:18,2017-12-18 05:12:18,Request product,process activity,clerk,1c,product,9806p
9806CP,5400,2017-12-18 05:12:18,2017-12-18 05:12:18,Assgin robot,process activity,robot,50r,shelf,431s
4709CP,5401,2017-12-18 05:13:18,2017-12-18 05:13:18,check if the product was shaked,process activity,clerk,1c,product,4709p
9041CP,5399,2017-12-18 05:12:18,2017-12-18 05:21:18,Request product,process activity,clerk,1c,product,9041p
9041CP,5406,2017-12-18 05:22:18,2017-12-18 05:22:18,Assgin robot,process activity,robot,41r,shelf,75s
4709CP,5413,2017-12-18 05:31:18,2017-12-18 05:31:18,Product Delivered,process activity,clerk,1c,product,4709p
7660CP,5414,2017-12-18 05:32:18,2017-12-18 05:32:18,check if the product was shaked,process activity,clerk,1c,product,7660p
7660CP,5424,2017-12-18 05:47:18,2017-12-18 05:47:18,Product Delivered,process activity,clerk,1c,product,7660p
8358CP,5417,2017-12-18 05:35:18,2017-12-18 05:50:18,Request product,process activity,clerk,1c,product,8358p
8358CP,5426,2017-12-18 05:50:18,2017-12-18 05:50:18,Assgin robot,process activity,robot,33r,shelf,311s
8013CP,5425,2017-12-18 05:47:18,2017-12-18 05:55:18,Request product,process activity,clerk,1c,product,8013p
8013CP,5432,2017-12-18 05:56:18,2017-12-18 05:56:18,Assgin robot,process activity,robot,27r,shelf,396s
7800CP,5442,2017-12-18 06:12:18,2017-12-18 06:12:18,check if the product was shaked,process activity,clerk,1c,product,7800p
3890CP,5441,2017-12-18 06:11:18,2017-12-18 06:26:18,Request product,process activity,clerk,1c,product,3890p
3890CP,5451,2017-12-18 06:27:18,2017-12-18 06:27:18,Assgin robot,process activity,robot,16r,shelf,209s
7800CP,5452,2017-12-18 06:27:18,2017-12-18 06:27:18,Product Delivered,process activity,clerk,1c,product,7800p
4457CP,5455,2017-12-18 06:29:18,2017-12-18 06:29:18,check if the product was shaked,process activity,clerk,1c,product,4457p
4457CP,5467,2017-12-18 06:47:18,2017-12-18 06:47:18,Product Delivered,process activity,clerk,1c,product,4457p
6944CP,5454,2017-12-18 06:28:18,2017-12-18 06:48:18,Request product,process activity,clerk,1c,product,6944p
6944CP,5469,2017-12-18 06:48:18,2017-12-18 06:48:18,Assgin robot,process activity,robot,28r,shelf,426s
8213CP,5470,2017-12-18 06:49:18,2017-12-18 07:02:18,Request product,process activity,clerk,1c,product,8213p
