Case Id,Event Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id
1011RP,1823,2017-12-15 15:33:18,2017-12-15 15:56:18,go to approriate shelf,process activity,robot,63r,shelf,231s
8052RP,1836,2017-12-15 15:44:18,2017-12-15 15:57:18,reduce speed,process activity,robot,34r,shelf,424s
8052RP,1794,2017-12-15 15:18:18,2017-12-15 15:57:18,move shelf to dock,process activity,robot,34r,shelf,424s
3116RP,1847,2017-12-15 15:50:18,2017-12-15 16:08:18,putdown current shelf,process activity,robot,45r,shelf,-1s
499RP,1869,2017-12-15 16:08:18,2017-12-15 16:15:18,putdown current shelf,process activity,robot,29r,shelf,-1s
3116RP,1870,2017-12-15 16:08:18,2017-12-15 16:17:18,go to approriate shelf,process activity,robot,45r,shelf,56s
6034RP,1866,2017-12-15 16:07:18,2017-12-15 16:20:18,reduce speed,process activity,robot,74r,shelf,238s
6034RP,1839,2017-12-15 15:45:18,2017-12-15 16:20:18,move shelf to dock,process activity,robot,74r,shelf,238s
8101RP,1881,2017-12-15 16:15:18,2017-12-15 16:21:18,putdown current shelf,process activity,robot,99r,shelf,-1s
8816RP,1863,2017-12-15 16:04:18,2017-12-15 16:23:18,move shelf from dock,process activity,robot,95r,shelf,422s
7806RP,1878,2017-12-15 16:14:18,2017-12-15 16:23:18,reduce speed,process activity,robot,85r,shelf,350s
7806RP,1849,2017-12-15 15:52:18,2017-12-15 16:24:18,move shelf to dock,process activity,robot,85r,shelf,350s
6928RP,1879,2017-12-15 16:14:18,2017-12-15 16:25:18,putdown current shelf,process activity,robot,20r,shelf,-1s
1011RP,1883,2017-12-15 16:16:18,2017-12-15 16:25:18,reduce speed,process activity,robot,63r,shelf,231s
1011RP,1868,2017-12-15 16:07:18,2017-12-15 16:25:18,move shelf to dock,process activity,robot,63r,shelf,231s
3116RP,1887,2017-12-15 16:19:18,2017-12-15 16:30:18,move shelf to dock,process activity,robot,45r,shelf,56s
6928RP,1902,2017-12-15 16:29:18,2017-12-15 16:37:18,go to approriate shelf,process activity,robot,20r,shelf,419s
1157RP,1884,2017-12-15 16:16:18,2017-12-15 16:37:18,move shelf from dock,process activity,robot,10r,shelf,20s
3828RP,1895,2017-12-15 16:25:18,2017-12-15 16:38:18,putdown current shelf,process activity,robot,47r,shelf,-1s
499RP,1892,2017-12-15 16:23:18,2017-12-15 16:39:18,go to approriate shelf,process activity,robot,29r,shelf,46s
1202RP,1913,2017-12-15 16:37:18,2017-12-15 16:40:18,putdown current shelf,process activity,robot,70r,shelf,-1s
9891RP,1907,2017-12-15 16:34:18,2017-12-15 16:45:18,putdown current shelf,process activity,robot,12r,shelf,-1s
8101RP,1897,2017-12-15 16:26:18,2017-12-15 16:46:18,go to approriate shelf,process activity,robot,99r,shelf,52s
7682RP,1908,2017-12-15 16:35:18,2017-12-15 16:49:18,move shelf from dock,process activity,robot,94r,shelf,174s
1563RP,1921,2017-12-15 16:43:18,2017-12-15 16:49:18,putdown current shelf,process activity,robot,67r,shelf,-1s
8101RP,1932,2017-12-15 16:49:18,2017-12-15 16:50:18,move shelf to dock,process activity,robot,99r,shelf,52s
1202RP,1925,2017-12-15 16:45:18,2017-12-15 16:52:18,go to approriate shelf,process activity,robot,70r,shelf,42s
324RP,1930,2017-12-15 16:48:18,2017-12-15 16:53:18,putdown current shelf,process activity,robot,51r,shelf,-1s
764RP,1917,2017-12-15 16:39:18,2017-12-15 16:53:18,move shelf from dock,process activity,robot,61r,shelf,38s
3896RP,1924,2017-12-15 16:44:18,2017-12-15 16:53:18,move shelf from dock,process activity,robot,6r,shelf,72s
2031RP,1937,2017-12-15 16:50:18,2017-12-15 16:54:18,putdown current shelf,process activity,robot,9r,shelf,-1s
324RP,1941,2017-12-15 16:53:18,2017-12-15 16:55:18,go to approriate shelf,process activity,robot,51r,shelf,364s
6928RP,1939,2017-12-15 16:52:18,2017-12-15 16:58:18,reduce speed,process activity,robot,20r,shelf,419s
6928RP,1916,2017-12-15 16:39:18,2017-12-15 16:58:18,move shelf to dock,process activity,robot,20r,shelf,419s
3828RP,1922,2017-12-15 16:43:18,2017-12-15 16:58:18,go to approriate shelf,process activity,robot,47r,shelf,135s
9891RP,1927,2017-12-15 16:46:18,2017-12-15 17:02:18,go to approriate shelf,process activity,robot,12r,shelf,49s
2031RP,1943,2017-12-15 16:54:18,2017-12-15 17:08:18,go to approriate shelf,process activity,robot,9r,shelf,73s
1563RP,1935,2017-12-15 16:49:18,2017-12-15 17:08:18,go to approriate shelf,process activity,robot,67r,shelf,229s
