Event Id,Chip Name,Timestamp,Item Id
11058SR,shelfDelivered,2017-12-22 15:20:18,496s
11059SR,shelfMoved,2017-12-22 15:22:18,385s
11082SR,shelfDelivered,2017-12-22 15:41:18,385s
11083SR,shelfMoved,2017-12-22 15:42:18,112s
11089SR,shelfMoved,2017-12-22 15:47:18,56s
11092SR,shelfDelivered,2017-12-22 15:56:18,112s
11097SR,shelfDelivered,2017-12-22 16:02:18,56s
11114SR,shelfMoved,2017-12-22 16:26:18,169s
11126SR,shelfMoved,2017-12-22 16:45:18,431s
11128SR,shelfDelivered,2017-12-22 16:51:18,431s
11132SR,shelfDelivered,2017-12-22 16:55:18,169s
11146SR,shelfMoved,2017-12-22 17:08:18,0s
11150SR,shelfMoved,2017-12-22 17:13:18,482s
11151SR,shelfDelivered,2017-12-22 17:14:18,0s
11156SR,shelfDelivered,2017-12-22 17:20:18,482s
11196SR,shelfMoved,2017-12-22 18:14:18,424s
11197SR,shelfMoved,2017-12-22 18:16:18,21s
11200SR,shelfMoved,2017-12-22 18:20:18,152s
11203SR,shelfMoved,2017-12-22 18:23:18,348s
11206SR,shelfDelivered,2017-12-22 18:25:18,424s
11213SR,shelfDelivered,2017-12-22 18:31:18,21s
11219SR,shelfMoved,2017-12-22 18:37:18,126s
11221SR,shelfDelivered,2017-12-22 18:39:18,348s
11235SR,shelfDelivered,2017-12-22 18:48:18,152s
11250SR,shelfMoved,2017-12-22 19:00:18,485s
