Event Id,Chip Name,Timestamp,Item Id
6831RR,disposeShelf,2017-12-19 07:49:18,89r
6849RR,disposeShelf,2017-12-19 08:08:18,1r
6876RR,disposeShelf,2017-12-19 08:34:18,86r
6879RR,disposeShelf,2017-12-19 08:36:18,44r
6886RR,disposeShelf,2017-12-19 08:43:18,15r
6905RR,disposeShelf,2017-12-19 09:10:18,61r
6929RR,disposeShelf,2017-12-19 09:41:18,12r
6934RR,disposeShelf,2017-12-19 09:47:18,85r
6970RR,disposeShelf,2017-12-19 10:47:18,68r
6990RR,disposeShelf,2017-12-19 11:05:18,83r
6992RR,disposeShelf,2017-12-19 11:07:18,62r
7040RR,disposeShelf,2017-12-19 11:54:18,41r
7047RR,disposeShelf,2017-12-19 11:59:18,50r
7054RR,disposeShelf,2017-12-19 12:04:18,27r
7057RR,disposeShelf,2017-12-19 12:07:18,14r
7087RR,disposeShelf,2017-12-19 12:37:18,16r
7112RR,disposeShelf,2017-12-19 13:08:18,73r
7119RR,disposeShelf,2017-12-19 13:21:18,28r
7145RR,disposeShelf,2017-12-19 13:49:18,7r
7155RR,disposeShelf,2017-12-19 13:58:18,19r
7176RR,disposeShelf,2017-12-19 14:21:18,64r
7194RR,disposeShelf,2017-12-19 14:38:18,94r
7206RR,disposeShelf,2017-12-19 14:55:18,46r
7218RR,disposeShelf,2017-12-19 15:11:18,6r
7252RR,disposeShelf,2017-12-19 15:54:18,88r
7258RR,disposeShelf,2017-12-19 15:59:18,58r
7303RR,disposeShelf,2017-12-19 16:48:18,18r
7305RR,disposeShelf,2017-12-19 16:50:18,78r
7316RR,disposeShelf,2017-12-19 17:02:18,91r
7333RR,disposeShelf,2017-12-19 17:17:18,51r
7335RR,disposeShelf,2017-12-19 17:18:18,82r
7370RR,disposeShelf,2017-12-19 17:57:18,48r
7372RR,disposeShelf,2017-12-19 18:00:18,31r
7407RR,disposeShelf,2017-12-19 18:41:18,75r
7432RR,disposeShelf,2017-12-19 19:10:18,3r
7442RR,disposeShelf,2017-12-19 19:20:18,54r
7448RR,disposeShelf,2017-12-19 19:26:18,67r
7481RR,disposeShelf,2017-12-19 20:04:18,71r
7509RR,disposeShelf,2017-12-19 20:30:18,11r
7527RR,disposeShelf,2017-12-19 20:44:18,79r
7538RR,disposeShelf,2017-12-19 20:56:18,57r
7539RR,disposeShelf,2017-12-19 20:56:18,65r
7557RR,disposeShelf,2017-12-19 21:31:18,97r
7602RR,disposeShelf,2017-12-19 22:52:18,98r
7625RR,disposeShelf,2017-12-19 23:17:18,45r
7640RR,disposeShelf,2017-12-19 23:30:18,2r
7654RR,disposeShelf,2017-12-19 23:40:18,22r
