Case Id,Event Id,Start Timestamp,End Timesstamp,Event name,Event type,Ressource Group,Ressource Id
1178,1892,2017-08-24 05:34:20,2017-08-24 05:52:15,Package product,manual activity ,clerk,1
418,1904,2017-08-24 05:47:16,2017-08-24 05:52:15,move shelf to dock,process activity,robot,1
842,1908,2017-08-24 05:52:15,2017-08-24 05:55:51,go to approriate shelf,process activity,robot,2
468,1907,2017-08-24 05:52:15,2017-08-24 06:00:49,move shelf from clerk dock,process activity,robot,3
1287,1909,2017-08-24 05:52:15,2017-08-24 06:00:49,Request product,process activity,clerk,1
753,1913,2017-08-24 05:55:51,2017-08-24 06:03:45,putdown current shelf,process activity,robot,0
418,1917,2017-08-24 05:58:54,2017-08-24 06:06:12,collect product from shelf,manual activity ,clerk,1
476,1925,2017-08-24 06:06:12,2017-08-24 06:08:57,Request product,process activity,clerk,1
274,1924,2017-08-24 06:06:12,2017-08-24 06:12:28,putdown current shelf,process activity,robot,3
753,1923,2017-08-24 06:06:12,2017-08-24 06:12:28,go to approriate shelf,process activity,robot,0
842,1922,2017-08-24 06:06:12,2017-08-24 06:13:36,move shelf to dock,process activity,robot,2
95,1914,2017-08-24 05:55:51,2017-08-24 06:17:17,do extra check,manual activity ,clerk,1
95,1934,2017-08-24 06:17:17,2017-08-24 06:20:04,Package product,manual activity ,clerk,1
418,1933,2017-08-24 06:17:17,2017-08-24 06:20:04,move shelf from clerk dock,process activity,robot,1
384,1929,2017-08-24 06:12:28,2017-08-24 06:25:31,Request product,process activity,clerk,1
274,1943,2017-08-24 06:26:34,2017-08-24 06:32:58,go to approriate shelf,process activity,robot,3
753,1941,2017-08-24 06:25:31,2017-08-24 06:34:22,move shelf to dock,process activity,robot,0
311,1947,2017-08-24 06:32:58,2017-08-24 06:40:50,putdown current shelf,process activity,robot,1
1095,1951,2017-08-24 06:35:24,2017-08-24 06:42:38,Request product,process activity,clerk,1
842,1948,2017-08-24 06:32:58,2017-08-24 06:43:49,collect product from shelf,manual activity ,clerk,1
634,1960,2017-08-24 06:43:49,2017-08-24 06:45:20,Request product,process activity,clerk,1
418,1956,2017-08-24 06:40:50,2017-08-24 06:48:47,Package product,manual activity ,clerk,1
311,1957,2017-08-24 06:40:50,2017-08-24 06:48:47,go to approriate shelf,process activity,robot,1
274,1955,2017-08-24 06:40:50,2017-08-24 06:50:05,move shelf to dock,process activity,robot,3
753,1961,2017-08-24 06:43:49,2017-08-24 06:58:38,collect product from shelf,manual activity ,clerk,1
862,1964,2017-08-24 06:48:47,2017-08-24 07:03:39,Request product,process activity,clerk,1
311,1976,2017-08-24 07:03:39,2017-08-24 07:14:59,move shelf to dock,process activity,robot,1
753,1982,2017-08-24 07:08:52,2017-08-24 07:17:19,move shelf from clerk dock,process activity,robot,0
912,1980,2017-08-24 07:06:30,2017-08-24 07:18:21,Request product,process activity,clerk,1
842,1988,2017-08-24 07:14:59,2017-08-24 07:25:24,move shelf from clerk dock,process activity,robot,2
274,1986,2017-08-24 07:13:05,2017-08-24 07:25:24,collect product from shelf,manual activity ,clerk,1
1241,1997,2017-08-24 07:28:31,2017-08-24 07:34:39,Request product,process activity,clerk,1
274,2003,2017-08-24 07:34:39,2017-08-24 07:36:08,move shelf from clerk dock,process activity,robot,3
468,1979,2017-08-24 07:06:30,2017-08-24 07:36:08,Package product,manual activity ,clerk,1
311,2001,2017-08-24 07:32:58,2017-08-24 07:37:57,collect product from shelf,manual activity ,clerk,1
255,2007,2017-08-24 07:37:57,2017-08-24 07:44:44,Request product,process activity,clerk,1
167,2005,2017-08-24 07:36:08,2017-08-24 07:45:45,putdown current shelf,process activity,robot,2
311,2015,2017-08-24 07:47:28,2017-08-24 07:47:28,move shelf from clerk dock,process activity,robot,1
308,2018,2017-08-24 07:47:28,2017-08-24 07:48:30,Request product,process activity,clerk,1
167,2017,2017-08-24 07:47:28,2017-08-24 07:48:30,go to approriate shelf,process activity,robot,2
240,2025,2017-08-24 07:54:35,2017-08-24 07:54:35,Request product,process activity,clerk,1
167,2024,2017-08-24 07:54:35,2017-08-24 07:56:21,move shelf to dock,process activity,robot,2
819,2022,2017-08-24 07:50:46,2017-08-24 07:56:21,putdown current shelf,process activity,robot,1
1321,2027,2017-08-24 07:56:21,2017-08-24 07:57:47,Request product,process activity,clerk,1
819,2028,2017-08-24 07:56:21,2017-08-24 07:59:23,go to approriate shelf,process activity,robot,1
753,2016,2017-08-24 07:47:28,2017-08-24 08:00:27,Package product,manual activity ,clerk,1
302,2032,2017-08-24 08:00:27,2017-08-24 08:02:35,Request product,process activity,clerk,1
1228,2036,2017-08-24 08:03:55,2017-08-24 08:07:23,putdown current shelf,process activity,robot,0
974,2041,2017-08-24 08:07:23,2017-08-24 08:09:13,Request product,process activity,clerk,1
1350,2046,2017-08-24 08:10:48,2017-08-24 08:10:48,Request product,process activity,clerk,1
819,2039,2017-08-24 08:07:23,2017-08-24 08:12:13,move shelf to dock,process activity,robot,1
1228,2045,2017-08-24 08:10:48,2017-08-24 08:16:15,go to approriate shelf,process activity,robot,0
167,2043,2017-08-24 08:09:13,2017-08-24 08:17:57,collect product from shelf,manual activity ,clerk,1
1310,2049,2017-08-24 08:13:21,2017-08-24 08:21:16,Request product,process activity,clerk,1
842,2040,2017-08-24 08:07:23,2017-08-24 08:27:25,do extra check,manual activity ,clerk,1
167,2064,2017-08-24 08:32:15,2017-08-24 08:32:15,move shelf from clerk dock,process activity,robot,2
1293,2065,2017-08-24 08:32:15,2017-08-24 08:34:09,Request product,process activity,clerk,1
819,2062,2017-08-24 08:30:53,2017-08-24 08:34:09,collect product from shelf,manual activity ,clerk,1
1228,2060,2017-08-24 08:29:19,2017-08-24 08:35:36,move shelf to dock,process activity,robot,0
842,2058,2017-08-24 08:27:25,2017-08-24 08:38:27,Package product,manual activity ,clerk,1
274,2073,2017-08-24 08:42:56,2017-08-24 08:47:47,do extra check,manual activity ,clerk,1
882,2071,2017-08-24 08:41:04,2017-08-24 08:47:47,putdown current shelf,process activity,robot,3
409,2076,2017-08-24 08:46:13,2017-08-24 08:53:02,Request product,process activity,clerk,1
819,2082,2017-08-24 08:53:02,2017-08-24 08:54:39,move shelf from clerk dock,process activity,robot,1
274,2078,2017-08-24 08:47:47,2017-08-24 08:56:31,Package product,manual activity ,clerk,1
1185,2086,2017-08-24 08:54:39,2017-08-24 08:56:31,Request product,process activity,clerk,1
882,2083,2017-08-24 08:53:02,2017-08-24 08:59:52,go to approriate shelf,process activity,robot,3
1228,2084,2017-08-24 08:53:02,2017-08-24 09:01:06,collect product from shelf,manual activity ,clerk,1
819,2094,2017-08-24 09:01:06,2017-08-24 09:01:06,Package product,manual activity ,clerk,1
1220,2090,2017-08-24 08:59:52,2017-08-24 09:05:26,putdown current shelf,process activity,robot,1
443,2093,2017-08-24 09:01:06,2017-08-24 09:05:26,putdown current shelf,process activity,robot,2
366,2092,2017-08-24 09:01:06,2017-08-24 09:10:00,Request product,process activity,clerk,1
