Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
266RP,2017-12-29 08:13:13,2017-12-29 08:34:13,move shelf to dock,process activity,robot,3r,shelf,12s,2082
127RP,2017-12-29 08:11:13,2017-12-29 08:35:13,move shelf from dock,process activity,robot,7r,shelf,22s,2080
319RP,2017-12-29 08:08:13,2017-12-29 08:35:13,move shelf from dock,process activity,robot,8r,shelf,14s,2078
1RP,2017-12-29 08:40:13,2017-12-29 08:44:13,putdown current shelf,process activity,robot,4r,shelf,2s,2099
323RP,2017-12-29 08:39:13,2017-12-29 08:45:13,move shelf from dock,process activity,robot,5r,shelf,23s,2096
1RP,2017-12-29 08:44:13,2017-12-29 08:48:13,go to approriate shelf,process activity,robot,4r,shelf,15s,2103
266RP,2017-12-29 08:45:13,2017-12-29 08:53:13,move shelf from dock,process activity,robot,3r,shelf,12s,2104
21RP,2017-12-29 08:46:13,2017-12-29 08:59:13,move shelf from dock,process activity,robot,6r,shelf,19s,2106
486RP,2017-12-29 09:15:13,2017-12-29 09:17:13,putdown current shelf,process activity,robot,2r,shelf,10s,2122
1RP,2017-12-29 09:05:13,2017-12-29 09:18:13,reduce speed,process activity,robot,4r,shelf,15s,2115
1RP,2017-12-29 08:50:13,2017-12-29 09:18:13,move shelf to dock,process activity,robot,4r,shelf,15s,2112
486RP,2017-12-29 09:18:13,2017-12-29 09:27:13,go to approriate shelf,process activity,robot,2r,shelf,0s,2123
1RP,2017-12-29 09:25:13,2017-12-29 09:34:13,move shelf from dock,process activity,robot,4r,shelf,15s,2128
97RP,2017-12-29 09:32:13,2017-12-29 09:40:13,putdown current shelf,process activity,robot,9r,shelf,23s,2136
486RP,2017-12-29 09:29:13,2017-12-29 09:42:13,move shelf to dock,process activity,robot,2r,shelf,0s,2131
97RP,2017-12-29 09:40:13,2017-12-29 09:45:13,go to approriate shelf,process activity,robot,9r,shelf,2s,2142
54RP,2017-12-29 09:51:13,2017-12-29 09:53:13,putdown current shelf,process activity,robot,1r,shelf,11s,2150
411RP,2017-12-29 09:53:13,2017-12-29 09:58:13,putdown current shelf,process activity,robot,0r,shelf,16s,2153
97RP,2017-12-29 09:47:13,2017-12-29 09:59:13,move shelf to dock,process activity,robot,9r,shelf,2s,2147
486RP,2017-12-29 09:50:13,2017-12-29 10:01:13,move shelf from dock,process activity,robot,2r,shelf,0s,2149
54RP,2017-12-29 09:53:13,2017-12-29 10:08:13,go to approriate shelf,process activity,robot,1r,shelf,3s,2154
411RP,2017-12-29 09:59:13,2017-12-29 10:11:13,go to approriate shelf,process activity,robot,0r,shelf,14s,2155
97RP,2017-12-29 10:07:13,2017-12-29 10:21:13,move shelf from dock,process activity,robot,9r,shelf,2s,2160
411RP,2017-12-29 10:14:13,2017-12-29 10:24:13,move shelf to dock,process activity,robot,0r,shelf,14s,2167
49RP,2017-12-29 10:27:13,2017-12-29 10:28:13,putdown current shelf,process activity,robot,8r,shelf,14s,2178
54RP,2017-12-29 10:22:13,2017-12-29 10:29:13,reduce speed,process activity,robot,1r,shelf,3s,2170
54RP,2017-12-29 10:11:13,2017-12-29 10:29:13,move shelf to dock,process activity,robot,1r,shelf,3s,2165
54RP,2017-12-29 10:34:13,2017-12-29 10:39:13,move shelf from dock,process activity,robot,1r,shelf,3s,2186
49RP,2017-12-29 10:29:13,2017-12-29 10:41:13,go to approriate shelf,process activity,robot,8r,shelf,0s,2179
411RP,2017-12-29 10:32:13,2017-12-29 10:47:13,move shelf from dock,process activity,robot,0r,shelf,14s,2184
263RP,2017-12-29 10:58:13,2017-12-29 10:59:13,putdown current shelf,process activity,robot,5r,shelf,23s,2199
49RP,2017-12-29 10:54:13,2017-12-29 11:03:13,reduce speed,process activity,robot,8r,shelf,0s,2197
49RP,2017-12-29 10:42:13,2017-12-29 11:03:13,move shelf to dock,process activity,robot,8r,shelf,0s,2189
263RP,2017-12-29 11:00:13,2017-12-29 11:14:13,go to approriate shelf,process activity,robot,5r,shelf,6s,2200
49RP,2017-12-29 11:12:13,2017-12-29 11:16:13,move shelf from dock,process activity,robot,8r,shelf,0s,2209
30RP,2017-12-29 11:21:13,2017-12-29 11:25:13,putdown current shelf,process activity,robot,3r,shelf,12s,2214
30RP,2017-12-29 11:25:13,2017-12-29 11:30:13,go to approriate shelf,process activity,robot,3r,shelf,16s,2215
263RP,2017-12-29 11:28:13,2017-12-29 11:38:13,reduce speed,process activity,robot,5r,shelf,6s,2219
263RP,2017-12-29 11:16:13,2017-12-29 11:38:13,move shelf to dock,process activity,robot,5r,shelf,6s,2212
30RP,2017-12-29 11:31:13,2017-12-29 11:40:13,move shelf to dock,process activity,robot,3r,shelf,16s,2223
132RP,2017-12-29 11:53:13,2017-12-29 11:54:13,putdown current shelf,process activity,robot,6r,shelf,19s,2236
263RP,2017-12-29 11:47:13,2017-12-29 12:01:13,move shelf from dock,process activity,robot,5r,shelf,6s,2232
35RP,2017-12-29 11:56:13,2017-12-29 12:02:13,putdown current shelf,process activity,robot,7r,shelf,22s,2242
30RP,2017-12-29 11:49:13,2017-12-29 12:03:13,move shelf from dock,process activity,robot,3r,shelf,16s,2234
35RP,2017-12-29 12:02:13,2017-12-29 12:07:13,go to approriate shelf,process activity,robot,7r,shelf,0s,2246
132RP,2017-12-29 11:54:13,2017-12-29 12:09:13,go to approriate shelf,process activity,robot,6r,shelf,7s,2238
278RP,2017-12-29 12:02:13,2017-12-29 12:10:13,putdown current shelf,process activity,robot,4r,shelf,15s,2245
278RP,2017-12-29 12:11:13,2017-12-29 12:13:13,go to approriate shelf,process activity,robot,4r,shelf,10s,2254
35RP,2017-12-29 12:11:13,2017-12-29 12:16:13,move shelf to dock,process activity,robot,7r,shelf,0s,2255
132RP,2017-12-29 12:10:13,2017-12-29 12:20:13,move shelf to dock,process activity,robot,6r,shelf,7s,2253
