Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
486CP,2017-12-29 12:05:13,2017-12-29 12:05:13,Product Delivered,process activity,clerk,1c,product,486p,2247
97CP,2017-12-29 12:06:13,2017-12-29 12:06:13,check if the product was shaked,process activity,clerk,1c,product,97p,2248
97CP,2017-12-29 12:19:13,2017-12-29 12:19:13,Product Delivered,process activity,clerk,1c,product,97p,2261
411CP,2017-12-29 12:20:13,2017-12-29 12:20:13,check if the product was shaked,process activity,clerk,1c,product,411p,2263
253CP,2017-12-29 12:07:13,2017-12-29 12:22:13,Request product,process activity,clerk,1c,product,253p,2250
253CP,2017-12-29 12:25:13,2017-12-29 12:25:13,Assgin robot,process activity,robot,2r,shelf,13s,2270
25CP,2017-12-29 12:21:13,2017-12-29 12:34:13,Request product,process activity,clerk,1c,product,25p,2264
25CP,2017-12-29 12:35:13,2017-12-29 12:35:13,Assgin robot,process activity,robot,9r,shelf,24s,2280
411CP,2017-12-29 12:37:13,2017-12-29 12:37:13,Product Delivered,process activity,clerk,1c,product,411p,2283
54CP,2017-12-29 12:38:13,2017-12-29 12:38:13,check if the product was shaked,process activity,clerk,1c,product,54p,2284
54CP,2017-12-29 12:54:13,2017-12-29 12:54:13,Product Delivered,process activity,clerk,1c,product,54p,2295
